category_str,评论内容_clean,text_clean_char,attributes,attributes_list,labels,aspects_hit
图书音像,画面精美华丽画工可见一斑非常值得买的一部作品期待后面的作品。,画 面 精 美 华 丽 画 工 见 斑 非 常 值 买 部 作 品 期 后 面 作 品,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
图书音像,cotton life的1-6都买了这个6让人有点失望没前几期好看而且现在这种玩布杂志都偏向各种包了。。。。玩偶类越来越少。,cotton life 1 6 都 买 6 人 点 失 没 前 期 好 看 现 玩 布 杂 志 都 偏 包 玩 偶 类 越 越 少,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
家用电器,此次物流太慢在第二天货物就显示到了所在城市但随后又显示超出配送范围最后又过了三四天才配送成功而且物流信息更新相当不及时。但商品还行给整个过程打个及格分吧。,次 物 流 太 慢 二 天 货 物 显 示 城 市 后 显 示 超 出 配 送 范 围 最 后 三 四 天 才 配 送 成 功 物 流 信 息 更 新 相 不 时 商 品 还 行 整 程 格 分,"[{""aspect"": ""物流"", ""polarity"": 0}]","[('物流', 0)]","0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0",物流
图书音像,王小波的书就内容看肯定没问题绝对值得推荐 寄过来的书角折了其他都还好价格也算便宜给四星纯粹是因为卖相差了点,王 小 波 书 内 容 看 肯 定 没 问 题 绝 值 推 荐 寄 书 角 折 都 还 好 价 格 算 便 宜 四 星 纯 粹 卖 相 差 点,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,包装完好 音质很棒 值得收藏,包 装 完 好 音 质 很 棒 值 收 藏,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
电脑/办公,挺好用的实物比图片好看,挺 好 实 物 图 片 好 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,包装很好书很新没有一点破损,包 装 很 好 书 很 新 没 点 破 损,"[{""aspect"": ""包装"", ""polarity"": 0}]","[('包装', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",包装
图书音像,更新的一般很多新修的二级路没有某些名称有误,更 新 般 很 新 修 二 级 路 没 些 名 称 误,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,很好看小孩非常喜欢,很 好 看 小 孩 非 常 喜 欢,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,郭化若的注释以及译文不咋地要不是添上了曹操的注解这本书就太不值了,郭 化 注 释 译 文 不 不 添 上 曹 操 注 解 书 太 不 值,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
图书音像,缺页今天才发现4.30下的单退不了。坑爹,缺 页 今 天 才 发 现 4 30 下 单 退 不 坑 爹,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
图书音像,一本好书相见恨晚是正品性价比高,好 书 相 见 恨 晚 正 品 性 价 高,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,没有一起去看完 偶尔随心情看个一两段。 包装什么的都不错。,没 去 看 完 偶 尔 心 情 看 两 段 包 装 什 都 不 错,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
图书音像,物流很快我和小伙伴都惊呆了书看上去也不错 首次体验亚马逊不一样的感觉强烈支持满分,物 流 很 快 小 伙 伴 都 惊 呆 书 看 上 去 不 错 首 次 体 验 亚 马 逊 不 样 感 觉 强 烈 支 持 满 分,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
手机/数码,小巧做工精致。综合性能、价格、便携较为均衡。适合即对画质、手动操作有一定要求又具全自动应用又有携带便捷需求的用户。不足的是附件不厚道没有镜头袋甚至连10-30套机头的遮光罩都没有没有遮光罩影响广角端逆光拍摄而且镜头伸出去实在难看也不安全。另买原装遮光罩居然要接近二百元而且只有黑色的。,小 巧 做 工 精 致 综 合 性 价 格 便 携 均 衡 适 合 画 质 手 动 操 作 定 求 具 全 动 应 携 带 便 捷 需 求 户 不 足 附 件 不 厚 道 没 镜 头 袋 甚 10 30 套 机 头 遮 光 罩 都 没 没 遮 光 罩 影 响 广 角 端 逆 光 拍 摄 镜 头 伸 出 去 实 难 看 不 安 全 买 原 装 遮 光 罩 居 然 接 近 二 百 元 只 黑 色,"[{""aspect"": ""做工"", ""polarity"": 1}, {""aspect"": ""外观"", ""polarity"": 0}]","[('做工', 1), ('外观', 0)]","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1","做工,外观"
家居生活,399秒杀的质量很好包装很精致是全棉的洗水后比较皱需要烫一下。,399 秒 杀 质 量 很 好 包 装 很 精 致 全 棉 洗 水 后 皱 需 烫 下,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,给我们上课的几个老师在讲课的时候都说我们应该读这本书所以就买下了下学期来了好好看看,上 课 老 师 讲 课 时 候 都 说 应 读 书 买 下 下 学 期 好 好 看 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
钟表/首饰/眼镜/礼品,这次的物流不错下单的第二天上午就到了。表扬 包装很好特别是盒子很漂亮。 盒内有很多精美的东西。 不知道为什么没有给发票,次 物 流 不 错 下 单 二 天 上 午 表 扬 包 装 很 好 特 盒 子 很 漂 亮 盒 内 很 精 美 东 西 不 知 道 什 没 发 票,"[{""aspect"": ""包装"", ""polarity"": 1}, {""aspect"": ""外观"", ""polarity"": 1}]","[('包装', 1), ('外观', 1)]","0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0","包装,外观"
家用电器,价格比某东便宜不少做工不错外形美观效果还可以。 加湿效果似乎一般湿度计显示是提高了但早上起来嗓子还是干。 W200SW不带湿度数值%显示只有高中低三档指示灯图片介绍有夸大。 滤网基本原理和其他品牌没多大区别净离子技术到底如何不太清楚。,价 格 东 便 宜 不 少 做 工 不 错 外 形 美 观 效 果 还 加 湿 效 果 似 般 湿 度 计 显 示 提 高 早 上 嗓 子 还 干 W 200 SW 不 带 湿 度 数 值 显 示 只 高 中 低 三 档 指 示 灯 图 片 介 绍 夸 大 滤 网 基 原 理 品 牌 没 大 区 净 子 技 术 底 不 太 清 楚,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,直觉上感觉不错应该是一本值得学习的好书硬件包装不错,直 觉 上 感 觉 不 错 应 值 学 习 好 书 硬 件 包 装 不 错,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
电脑/办公,东西很不错亚马逊保护很好值得称赞,东 西 很 不 错 亚 马 逊 保 护 很 好 值 称 赞,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,这本书也挺不错的也挺详细呢内容也丰富而且10元买到很划算,书 挺 不 错 挺 详 细 内 容 丰 富 10 元 买 很 划 算,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,哇好快就送過來也裏面的內容好好看包裝的不錯 很喜歡,好 快 送 過 來 裏 面 內 容 好 好 看 包 裝 不 錯 很 喜 歡,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,封面丑死 封面丑死 封面丑死,封 面 丑 死 封 面 丑 死 封 面 丑 死,"[{""aspect"": ""外观"", ""polarity"": 0}]","[('外观', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",外观
图书音像,内容超好看先看完的电子书觉得实在写得很好就买的实体书。质量也很好值得啊,内 容 超 好 看 先 看 完 电 子 书 觉 实 写 很 好 买 实 体 书 质 量 很 好 值,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,发货挺快是正版也有光碟再便宜点就更好了,发 货 挺 快 正 版 光 碟 再 便 宜 点 更 好,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,在大学里很想找一本很好的书用心去读这本书给了我许多的见识。。。却不知道用什么词去感激它给我带来的心灵的食粮。心里只是不断的重复“很好很好。。。。”,大 学 里 很 想 找 很 好 书 心 去 读 书 许 见 识 却 不 知 道 什 词 去 感 激 带 心 灵 食 粮 心 里 只 不 断 重 复 很 好 很 好,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
家用电器,对商品很满意电源线太短了。我家相同的锅要比它长2倍。九阳能否改善一下。对卓越的客服很满意。锅样子好看。很实用。,商 品 很 满 意 电 源 线 太 短 家 相 锅 长 2 倍 九 阳 否 改 善 下 卓 越 客 服 很 满 意 锅 样 子 好 看 很 实,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,书本身很喜欢。但是这一本侧面裁切的坑坑洼洼不是故意的吧,书 身 很 喜 欢 侧 面 裁 切 坑 坑 洼 洼 不 意,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
电脑/办公,听不懂的实用方便价钱便宜,听 不 懂 实 方 便 价 钱 便 宜,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,爸妈网上的高人气书果然是非常好看女儿非常喜欢。,爸 妈 网 上 高 人 气 书 果 然 非 常 好 看 女 儿 非 常 喜 欢,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,很好看的书我们自己早就买了这次帮别人买,很 好 看 书 早 买 次 帮 人 买,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,太恶心了 200页左右有缺页 整整6页白纸啊 过了30天还不给退 我30天内看不了这么多啊 坑爹啊 再也不在亚马逊买书了,太 恶 心 200 页 左 右 缺 页 整 整 6 页 白 纸 30 天 还 不 退 30 天 内 看 不 坑 爹 再 不 亚 马 逊 买 书,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
电脑/办公,我看图上是装在一个纸板上的没想到是一个简陋的包装。这个上墨器没必要买因为吸水量少跟自带墨囊一个样,看 图 上 装 纸 板 上 没 想 简 陋 包 装 上 墨 器 没 必 买 吸 水 量 少 带 墨 囊 样,"[{""aspect"": ""包装"", ""polarity"": 0}]","[('包装', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",包装
家具/家装/建材,零件一个不缺也没有破损的地方就是板子太薄了,零 件 不 缺 没 破 损 方 板 子 太 薄,"[{""aspect"": ""包装"", ""polarity"": 0}]","[('包装', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",包装
图书音像,书的包装不错物超所值,书 包 装 不 错 物 超 值,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
电脑/办公,刚收到现在用上了。拆开外包装看到散热垫第一印象它很漂亮散热效果是有的。 不足是风扇只有开关没有调速控制有散热效果却有所不足集成的USB略少。 这个做工对得起价格称得上精致。,刚 收 现 上 拆 开 外 包 装 看 散 热 垫 印 象 很 漂 亮 散 热 效 果 不 足 风 扇 只 开 关 没 调 速 控 制 散 热 效 果 却 不 足 集 成 USB 略 少 做 工 价 格 称 上 精 致,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
电脑/办公,颜色自然鲜明和“昂贵到离谱”的原装袖珍墨盒品质不相上下赞一个,颜 色 然 鲜 明 昂 贵 谱 原 装 袖 珍 墨 盒 品 质 不 相 上 下 赞,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
手机/数码,非常华丽做工精细快递给力,非 常 华 丽 做 工 精 细 快 递 力,"[{""aspect"": ""做工"", ""polarity"": 1}]","[('做工', 1)]","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",做工
手机/数码,很漂亮大品牌需要煲机后效果不错,很 漂 亮 大 品 牌 需 煲 机 后 效 果 不 错,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,书的质量还行希望对这次的考试有帮助,书 质 量 还 行 希 次 考 试 帮 助,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,指定教材印刷质量一般发货速度慢了,指 定 教 材 印 刷 质 量 般 发 货 速 度 慢,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
美妆个护,很喜欢雅顿的产品价格不贵效果又很好低调实用,很 喜 欢 雅 顿 产 品 价 格 不 贵 效 果 很 好 低 调 实,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,佳禾英语本来收集的就是不同发音的英语并不是standard English如果你能把这个听懂那你的听力应该就没有什么问题了。这本书上的听力我个人认为偏难哈很打击人的信心……,佳 禾 英 语 收 集 不 发 音 英 语 不 standard English 果 听 懂 听 力 应 没 什 问 题 书 上 听 力 人 认 偏 难 很 击 人 信 心,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,书的质量很好正版。内容比较简单适合刚进入临床的住院医师们我接触新生儿有一年了感觉这本书偏简单了不过还是有用的碰到自己没有见过的病种还是很有帮助的。,书 质 量 很 好 正 版 内 容 简 单 适 合 刚 进 入 床 住 院 医 师 接 触 新 生 儿 年 感 觉 书 偏 简 单 不 还 碰 没 见 病 还 很 帮 助,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,书按时候收到质量不错。内容没得说大家之作,书 时 候 收 质 量 不 错 内 容 没 说 大 家 作,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
电脑/办公,这个袋透明装什么一目了然最好的就是袋身比较宽A4规格轻松放入我是放大本的书用的赞一个,袋 透 明 装 什 目 然 最 好 袋 身 宽 4 规 格 轻 松 放 入 放 大 书 赞,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
家居生活,质量不错保温效果好就是保护套有一道破痕。美中不足,质 量 不 错 保 温 效 果 好 保 护 套 道 破 痕 美 中 不 足,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,里面的插图真漂亮光看图片就忍不住买了韩国的插画就是时尚漂亮唯美。看了前面的几章觉得内容也挺有意思。从一个小场景故事引出一个道理教你如何做一个狐狸一般的女人智慧、精明、时尚、妖媚在何种场合都是万人迷。对我这种平凡得有些苦恼的人还是很有启发性的。,里 面 插 图 真 漂 亮 光 看 图 片 忍 不 住 买 韩 国 插 画 时 尚 漂 亮 唯 美 看 前 面 章 觉 内 容 挺 意 思 小 场 景 事 引 出 道 理 教 做 狐 狸 般 女 人 智 慧 精 明 时 尚 妖 媚 场 合 都 万 人 迷 平 凡 些 苦 恼 人 还 很 启 发 性,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,字体大小适中看着不累书印刷精美女儿喜欢,字 体 大 小 适 中 看 不 累 书 印 刷 精 美 女 儿 喜 欢,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
家用电器,送货速度向来是快服务态度好货品包装一流是正品,送 货 速 度 快 服 务 态 度 好 货 品 包 装 流 正 品,"[{""aspect"": ""服务"", ""polarity"": 1}]","[('服务', 1)]","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",服务
图书音像,纸质没看出来有什么不好价钱还便宜.不要相信那些乱喷的.,纸 质 没 看 出 什 不 好 价 钱 还 便 宜 不 相 信 些 乱 喷,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
电脑/办公,买了有一段时间了没有掉过线外观也很漂亮符合心意,买 段 时 间 没 掉 线 外 观 很 漂 亮 符 合 心 意,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,教的还蛮详细的书的质量很好,教 还 蛮 详 细 书 质 量 很 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
母婴/玩具,包装很结实有两层纸箱日期是11年9月还算新哦,包 装 很 结 实 两 层 纸 箱 日 期 11 年 9 月 还 算 新,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
手机/数码,和同事关注了好几个月准备一起买结果价格从3699上去3999就一直没降下来了 机子绝对不错同价位中参数和效果应该是佼佼者了 在实体店看到3100很精致和佳能1100整一个塑料壳相比高档很多 急盼卓越调价啊立马下单两部,事 关 注 好 月 准 备 买 结 果 价 格 3699 上 去 3999 直 没 降 下 机 子 绝 不 错 价 位 中 参 数 效 果 应 佼 佼 实 体 店 看 3100 很 精 致 佳 1100 整 塑 料 壳 相 高 档 很 急 盼 卓 越 调 价 立 马 下 单 两 部,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,发货速度很快书的包装还不错希望保持书的内容也很好很适合。,发 货 速 度 很 快 书 包 装 还 不 错 希 保 持 书 内 容 很 好 很 适 合,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,封面手感超好啊不过质量太轻影响了手感应该要有点分量吧。。。可是上百块。。。,封 面 手 感 超 好 不 质 量 太 轻 影 响 手 感 应 点 分 量 上 百 块,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,内容翻译得不错与原版有点不同但还是不错的。 就是书的质量太差了从书的表面一看不知道是积压了多少年。但也有可能国际运输时受到了挤压,内 容 翻 译 不 错 原 版 点 不 还 不 错 书 质 量 太 差 书 表 面 看 不 知 道 积 压 少 年 国 际 运 输 时 受 挤 压,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,希望能尽快便宜一些,希 快 便 宜 些,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
母婴/玩具,一直使用着发货速度很快包装也很好。质量不错,直 使 发 货 速 度 很 快 包 装 很 好 质 量 不 错,"[{""aspect"": ""质量"", ""polarity"": 1}, {""aspect"": ""物流"", ""polarity"": 1}]","[('质量', 1), ('物流', 1)]","1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0","质量,物流"
图书音像,非常漂亮的一本书但是有一定的难度。应该有橡皮章的雕刻基础才能玩的书。因为材料非常便宜只要颜色漂亮的香皂就可以了。所以非常不幸疼哦但是建议玩家们买质量好一点的香皂或是蜡烛。因为掉粉太严重的东东会容易破坏最终的作品效果哦,非 常 漂 亮 书 定 难 度 应 橡 皮 章 雕 刻 基 础 才 玩 书 材 料 非 常 便 宜 只 颜 色 漂 亮 香 皂 非 常 不 幸 疼 建 议 玩 家 买 质 量 好 点 香 皂 蜡 烛 掉 粉 太 严 重 东 东 会 容 易 破 坏 最 终 作 品 效 果,"[{""aspect"": ""质量"", ""polarity"": 1}, {""aspect"": ""价格"", ""polarity"": 1}, {""aspect"": ""外观"", ""polarity"": 1}]","[('质量', 1), ('价格', 1), ('外观', 1)]","1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0","质量,价格,外观"
图书音像,东拉西扯更像随笔回想录与书名距离实在远了些,东 拉 西 扯 更 笔 回 想 录 书 名 距 实 远 些,"[{""aspect"": ""描述"", ""polarity"": 0}]","[('描述', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0",描述
图书音像,书很厚质量也很好价钱也很实惠,书 很 厚 质 量 很 好 价 钱 很 实 惠,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
家居生活,很实用内容比较好。印刷的也清楚。价格低。都很好。,很 实 内 容 好 印 刷 清 楚 价 格 低 都 很 好,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,文字没深度作者漫不经心不值得推荐连插图都显劣质。,文 字 没 深 度 作 漫 不 心 不 值 推 荐 插 图 都 显 劣 质,"[{""aspect"": ""质量"", ""polarity"": 0}, {""aspect"": ""价格"", ""polarity"": 0}]","[('质量', 0), ('价格', 0)]","0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0","质量,价格"
图书音像,这本书里对待孩子的态度与方法 虽然有些不适合我国国情 但大多数还是非常有代表性的 也在另一方面指导国人怎样对待孩子。 我认为这本书的处理问题与事情的方法不仅在教育孩子方面有助益 而且对于夫妻关系甚至日常的人际关系的处理方面都很有启示。,书 里 孩 子 态 度 方 法 然 些 不 适 合 国 国 情 大 数 还 非 常 代 表 性 方 面 指 导 国 人 样 孩 子 认 书 处 理 问 题 事 情 方 法 不 仅 教 育 孩 子 方 面 助 益 夫 妻 关 系 甚 日 常 人 际 关 系 处 理 方 面 都 很 启 示,"[{""aspect"": ""服务"", ""polarity"": 1}]","[('服务', 1)]","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",服务
图书音像,包装不错内容还可以,包 装 不 错 内 容 还,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
图书音像,读过韦政通《中国思想史》觉得非常非常的好看到有新书卖赶紧下了订单非常的喜欢。韦先生还写过很多其他书希望卓越能多多进货哦有些书只有港台有卖的奢望很久了好想读,读 韦 政 通 中 国 思 想 史 觉 非 常 非 常 好 看 新 书 卖 紧 下 订 单 非 常 喜 欢 韦 先 生 还 写 很 书 希 卓 越 进 货 些 书 只 港 台 卖 奢 很 久 好 想 读,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
手机/数码,还不错只是竟然没有配耳机和内存卡很坑花了我那么多钱。,还 不 错 只 竟 然 没 配 耳 机 内 存 卡 很 坑 花 钱,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
图书音像,讲的内容很好很全面啊实在不明白说简单的是怎么看的书而且介绍的东西也不贵啊当然了对于连饭都省得吃的人是会买不起可这样的人有什么资本来这谈论护肤之类的呢没钱买就嫌贵和吃不到葡萄就嫌葡萄酸有什么区别里面的东西有些是不太好找到但从网上购物屈臣氏里找都能买全及个别不好买的找人帮着带一下不就行了,讲 内 容 很 好 很 全 面 实 不 明 白 说 简 单 看 书 介 绍 东 西 不 贵 然 饭 都 省 吃 人 会 买 不 样 人 什 资 谈 护 肤 类 没 钱 买 嫌 贵 吃 不 葡 萄 嫌 葡 萄 酸 什 区 里 面 东 西 些 不 太 好 找 网 上 购 物 屈 臣 氏 里 找 都 买 全 不 好 买 找 人 帮 带 下 不 行,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
电脑/办公,发货速度很快虽然安装比较费力一点但是东西很好用不会掉线很不错。,发 货 速 度 很 快 然 安 装 费 力 点 东 西 很 好 不 会 掉 线 很 不 错,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,书本身很好买了很多卓越的书这本的印刷质量太差中间很多页的边都快要断掉了切割的很粗糙希望卓越不要再让我失望,书 身 很 好 买 很 卓 越 书 印 刷 质 量 太 差 中 间 很 页 都 快 断 掉 切 割 很 粗 糙 希 卓 越 不 再 失,"[{""aspect"": ""质量"", ""polarity"": 0}, {""aspect"": ""做工"", ""polarity"": 0}]","[('质量', 0), ('做工', 0)]","0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0","质量,做工"
图书音像,书的质量很好我很满意,书 质 量 很 好 很 满 意,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
家用电器,外观很好看风力也够用的很满意。,外 观 很 好 看 风 力 够 很 满 意,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,在网上看过片段买的不过觉得书里描述的血型特征不太准吧而且漫画也不是太有意思感觉不太值呢看过一遍就压箱底了还不如买个别的漫画书高木直子的比这个好看多了,网 上 看 片 段 买 不 觉 书 里 描 述 血 型 特 征 不 太 准 漫 画 不 太 意 思 感 觉 不 太 值 看 遍 压 箱 底 还 不 买 漫 画 书 高 木 直 子 好 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
