评论内容_clean,tokens_jieba,text_clean_jieba,tokens_char,text_clean_char,类别,attributes
东西不错...就是快递慢了点...,"[""东西"", ""不错"", ""快递"", ""慢"", ""点""]",东西 不错 快递 慢 点,"[""东"", ""西"", ""不"", ""错"", ""快"", ""递"", ""慢"", ""点""]",东 西 不 错 快 递 慢 点,"[{""类别"": ""家居生活"", ""类别ID"": 5}]","[{""aspect"": ""物流"", ""polarity"": 0}]"
1、这个合装版实惠。2、故事情节活泼可爱。3、精装的书就是好纸质和色彩都很好后面还带有小朋友喜欢的人物小粘贴。,"[""1"", ""合"", ""装版"", ""实惠"", ""2"", ""故事情节"", ""活泼可爱"", ""3"", ""精装"", ""书"", ""好"", ""纸质"", ""色彩"", ""都"", ""很"", ""好"", ""后面"", ""还"", ""带有"", ""小朋友"", ""喜欢"", ""人物"", ""小"", ""粘贴""]",1 合 装版 实惠 2 故事情节 活泼可爱 3 精装 书 好 纸质 色彩 都 很 好 后面 还 带有 小朋友 喜欢 人物 小 粘贴,"[""1"", ""合"", ""装"", ""版"", ""实"", ""惠"", ""2"", ""事"", ""情"", ""节"", ""活"", ""泼"", ""爱"", ""3"", ""精"", ""装"", ""书"", ""好"", ""纸"", ""质"", ""色"", ""彩"", ""都"", ""很"", ""好"", ""后"", ""面"", ""还"", ""带"", ""小"", ""朋"", ""友"", ""喜"", ""欢"", ""人"", ""物"", ""小"", ""粘"", ""贴""]",1 合 装 版 实 惠 2 事 情 节 活 泼 爱 3 精 装 书 好 纸 质 色 彩 都 很 好 后 面 还 带 小 朋 友 喜 欢 人 物 小 粘 贴,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
实惠很有用。蛮好的,"[""实惠"", ""很"", ""有用"", ""蛮"", ""好""]",实惠 很 有用 蛮 好,"[""实"", ""惠"", ""很"", ""蛮"", ""好""]",实 惠 很 蛮 好,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
纯粹是为了收集夏达的作品买的。 夏达的那篇还是“夏达式”的风格温和的幸福。非常喜欢。 猪乐桃的《爱在乞力马扎罗》也不错蛮有趣的。值得一看。 姚非拉其它的作品我曾在《漫友》上看过一部分很喜欢从人物设计到剧情。但这次的作品说实话我并不喜欢这种设定。也许我老了out了跟不上年轻人的思维了。。。。。。 于彦舒的短篇让我的表情变成了“囧”状。觉得剧情纯粹是为了向“爱情”这要求而硬靠出来的有些生硬。看来于彦舒还是更适合热血向的东西。 姜晓晨的《合租男友》本应是个很有趣的故事无奈原作篇幅较长给的页数又较短这大刀一挥 把剧情发展砍得实在突兀。想起韩寒评论剪辑版《赛德克巴莱》的话观众还没入戏演员就高潮了。 书的腰封说送精美书签我翻了两三遍也没找到后来发现腰封某处有两条打过眼供撕开的线才明白原来那条就是所谓的书签啊。。。。。。 总之这本书就是冲着夏达去的其他什么的都算是赠品。至于这赠品的质量个人感觉还成。,"[""纯粹"", ""收集"", ""夏达"", ""作品"", ""买"", ""夏达"", ""篇"", ""夏"", ""达式"", ""风格"", ""温和"", ""幸福"", ""非常"", ""喜欢"", ""猪乐桃"", ""爱"", ""乞力"", ""马扎罗"", ""不错"", ""蛮"", ""有趣"", ""值得一看"", ""姚非"", ""拉"", ""作品"", ""曾"", ""漫友"", ""上"", ""看过"", ""一部分"", ""很"", ""喜欢"", ""人物"", ""设计"", ""剧情"", ""这次"", ""作品"", ""说实话"", ""不"", ""喜欢"", ""这种"", ""设定"", ""也许"", ""老"", ""跟不上"", ""年轻人"", ""思维"", ""于彦舒"", ""短篇"", ""表情"", ""变成"", ""囧"", ""状"", ""觉得"", ""剧情"", ""纯粹"", ""爱情"", ""要求"", ""硬"", ""出来"", ""生硬"", ""看来"", ""于彦舒"", ""更"", ""适合"", ""热血"", ""东西"", ""姜晓晨"", ""合租"", ""男友"", ""本应"", ""很"", ""有趣"", ""故事"", ""无奈"", ""原作"", ""篇幅"", ""较长"", ""页数"", ""短"", ""大刀"", ""一挥"", ""剧情"", ""发展"", ""砍"", ""实在"", ""突兀"", ""想起"", ""韩寒"", ""评论"", ""剪辑版"", ""赛"", ""德克"", ""巴莱"", ""观众"", ""还"", ""没入"", ""戏"", ""演员"", ""高潮"", ""书"", ""腰"", ""封"", ""说"", ""送"", ""精美"", ""书签"", ""翻"", ""两三遍"", ""没"", ""找到"", ""后来"", ""发现"", ""腰封"", ""某处"", ""两条"", ""过眼"", ""供"", ""撕开"", ""线"", ""才"", ""明白"", ""原来"", ""那条"", ""所谓"", ""书签"", ""本书"", ""冲着"", ""夏达"", ""去"", ""都"", ""算是"", ""赠品"", ""赠品"", ""质量"", ""个人感觉"", ""还成""]",纯粹 收集 夏达 作品 买 夏达 篇 夏 达式 风格 温和 幸福 非常 喜欢 猪乐桃 爱 乞力 马扎罗 不错 蛮 有趣 值得一看 姚非 拉 作品 曾 漫友 上 看过 一部分 很 喜欢 人物 设计 剧情 这次 作品 说实话 不 喜欢 这种 设定 也许 老 跟不上 年轻人 思维 于彦舒 短篇 表情 变成 囧 状 觉得 剧情 纯粹 爱情 要求 硬 出来 生硬 看来 于彦舒 更 适合 热血 东西 姜晓晨 合租 男友 本应 很 有趣 故事 无奈 原作 篇幅 较长 页数 短 大刀 一挥 剧情 发展 砍 实在 突兀 想起 韩寒 评论 剪辑版 赛 德克 巴莱 观众 还 没入 戏 演员 高潮 书 腰 封 说 送 精美 书签 翻 两三遍 没 找到 后来 发现 腰封 某处 两条 过眼 供 撕开 线 才 明白 原来 那条 所谓 书签 本书 冲着 夏达 去 都 算是 赠品 赠品 质量 个人感觉 还成,"[""纯"", ""粹"", ""收"", ""集"", ""夏"", ""达"", ""作"", ""品"", ""买"", ""夏"", ""达"", ""篇"", ""还"", ""夏"", ""达"", ""式"", ""风"", ""格"", ""温"", ""幸"", ""福"", ""非"", ""常"", ""喜"", ""欢"", ""猪"", ""乐"", ""桃"", ""爱"", ""乞"", ""力"", ""马"", ""扎"", ""罗"", ""不"", ""错"", ""蛮"", ""趣"", ""值"", ""看"", ""姚"", ""非"", ""拉"", ""作"", ""品"", ""曾"", ""漫"", ""友"", ""上"", ""看"", ""部"", ""分"", ""很"", ""喜"", ""欢"", ""人"", ""物"", ""设"", ""计"", ""剧"", ""情"", ""次"", ""作"", ""品"", ""说"", ""实"", ""话"", ""不"", ""喜"", ""欢"", ""设"", ""定"", ""许"", ""老"", ""不"", ""上"", ""年"", ""轻"", ""人"", ""思"", ""维"", ""彦"", ""舒"", ""短"", ""篇"", ""表"", ""情"", ""变"", ""成"", ""囧"", ""状"", ""觉"", ""剧"", ""情"", ""纯"", ""粹"", ""爱"", ""情"", ""求"", ""硬"", ""出"", ""些"", ""生"", ""硬"", ""看"", ""彦"", ""舒"", ""还"", ""更"", ""适"", ""合"", ""热"", ""血"", ""东"", ""西"", ""姜"", ""晓"", ""晨"", ""合"", ""租"", ""男"", ""友"", ""应"", ""很"", ""趣"", ""事"", ""无"", ""奈"", ""原"", ""作"", ""篇"", ""幅"", ""长"", ""页"", ""数"", ""短"", ""大"", ""刀"", ""挥"", ""剧"", ""情"", ""发"", ""展"", ""砍"", ""实"", ""突"", ""兀"", ""想"", ""韩"", ""寒"", ""评"", ""剪"", ""辑"", ""版"", ""赛"", ""德"", ""克"", ""巴"", ""莱"", ""话"", ""观"", ""众"", ""还"", ""没"", ""入"", ""戏"", ""演"", ""员"", ""高"", ""潮"", ""书"", ""腰"", ""封"", ""说"", ""送"", ""精"", ""美"", ""书"", ""签"", ""翻"", ""两"", ""三"", ""遍"", ""没"", ""找"", ""后"", ""发"", ""现"", ""腰"", ""封"", ""处"", ""两"", ""条"", ""眼"", ""供"", ""撕"", ""开"", ""线"", ""才"", ""明"", ""白"", ""原"", ""条"", ""谓"", ""书"", ""签"", ""总"", ""书"", ""夏"", ""达"", ""去"", ""什"", ""都"", ""算"", ""赠"", ""品"", ""赠"", ""品"", ""质"", ""量"", ""人"", ""感"", ""觉"", ""还"", ""成""]",纯 粹 收 集 夏 达 作 品 买 夏 达 篇 还 夏 达 式 风 格 温 幸 福 非 常 喜 欢 猪 乐 桃 爱 乞 力 马 扎 罗 不 错 蛮 趣 值 看 姚 非 拉 作 品 曾 漫 友 上 看 部 分 很 喜 欢 人 物 设 计 剧 情 次 作 品 说 实 话 不 喜 欢 设 定 许 老 不 上 年 轻 人 思 维 彦 舒 短 篇 表 情 变 成 囧 状 觉 剧 情 纯 粹 爱 情 求 硬 出 些 生 硬 看 彦 舒 还 更 适 合 热 血 东 西 姜 晓 晨 合 租 男 友 应 很 趣 事 无 奈 原 作 篇 幅 长 页 数 短 大 刀 挥 剧 情 发 展 砍 实 突 兀 想 韩 寒 评 剪 辑 版 赛 德 克 巴 莱 话 观 众 还 没 入 戏 演 员 高 潮 书 腰 封 说 送 精 美 书 签 翻 两 三 遍 没 找 后 发 现 腰 封 处 两 条 眼 供 撕 开 线 才 明 白 原 条 谓 书 签 总 书 夏 达 去 什 都 算 赠 品 赠 品 质 量 人 感 觉 还 成,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
印刷、排版都十分精美配送速度超级快。 而且插图也十分之丰富 是一本值得收藏和阅读的好书 这一次卓越发的货无任何损毁和瑕疵稀饭,"[""印刷"", ""排版"", ""都"", ""十分"", ""精美"", ""配送"", ""速度"", ""超级"", ""快"", ""插图"", ""十分"", ""丰富"", ""一本"", ""值得"", ""收藏"", ""阅读"", ""好书"", ""一次"", ""卓越"", ""发"", ""货"", ""无"", ""损毁"", ""瑕疵"", ""稀饭""]",印刷 排版 都 十分 精美 配送 速度 超级 快 插图 十分 丰富 一本 值得 收藏 阅读 好书 一次 卓越 发 货 无 损毁 瑕疵 稀饭,"[""印"", ""刷"", ""排"", ""版"", ""都"", ""十"", ""分"", ""精"", ""美"", ""配"", ""送"", ""速"", ""度"", ""超"", ""级"", ""快"", ""插"", ""图"", ""十"", ""分"", ""丰"", ""富"", ""值"", ""收"", ""藏"", ""阅"", ""读"", ""好"", ""书"", ""次"", ""卓"", ""越"", ""发"", ""货"", ""无"", ""损"", ""毁"", ""瑕"", ""疵"", ""稀"", ""饭""]",印 刷 排 版 都 十 分 精 美 配 送 速 度 超 级 快 插 图 十 分 丰 富 值 收 藏 阅 读 好 书 次 卓 越 发 货 无 损 毁 瑕 疵 稀 饭,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
图画精美又增长知识,"[""图画"", ""精美"", ""增长"", ""知识""]",图画 精美 增长 知识,"[""图"", ""画"", ""精"", ""美"", ""增"", ""长"", ""知"", ""识""]",图 画 精 美 增 长 知 识,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
质量很好没什么问题价格也不贵,"[""质量"", ""很"", ""好"", ""没什么"", ""问题"", ""价格"", ""不贵""]",质量 很 好 没什么 问题 价格 不贵,"[""质"", ""量"", ""很"", ""好"", ""没"", ""什"", ""问"", ""题"", ""价"", ""格"", ""不"", ""贵""]",质 量 很 好 没 什 问 题 价 格 不 贵,"[{""类别"": ""电脑/办公"", ""类别ID"": 1}]","[{""aspect"": ""质量"", ""polarity"": 1}, {""aspect"": ""价格"", ""polarity"": 1}]"
满意这本书挺好看起来也是正版,"[""满意"", ""本书"", ""挺"", ""好"", ""看起来"", ""正版""]",满意 本书 挺 好 看起来 正版,"[""满"", ""意"", ""书"", ""挺"", ""好"", ""看"", ""正"", ""版""]",满 意 书 挺 好 看 正 版,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
书本质量不错内容不错很喜欢 内容可以由浅入深还有一点就是不会很枯燥 不过如果能够配上一张光盘如果完美了。,"[""书本"", ""质量"", ""不错"", ""内容"", ""不错"", ""很"", ""喜欢"", ""内容"", ""由浅入深"", ""一点"", ""不会"", ""很"", ""枯燥"", ""能够"", ""配"", ""上"", ""一张"", ""光盘"", ""完美""]",书本 质量 不错 内容 不错 很 喜欢 内容 由浅入深 一点 不会 很 枯燥 能够 配 上 一张 光盘 完美,"[""书"", ""质"", ""量"", ""不"", ""错"", ""内"", ""容"", ""不"", ""错"", ""很"", ""喜"", ""欢"", ""内"", ""容"", ""浅"", ""入"", ""深"", ""还"", ""点"", ""不"", ""会"", ""很"", ""枯"", ""燥"", ""不"", ""果"", ""够"", ""配"", ""上"", ""张"", ""光"", ""盘"", ""果"", ""完"", ""美""]",书 质 量 不 错 内 容 不 错 很 喜 欢 内 容 浅 入 深 还 点 不 会 很 枯 燥 不 果 够 配 上 张 光 盘 果 完 美,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
书包装的很好没有破损内容我很喜欢。,"[""书"", ""包装"", ""很"", ""好"", ""没有"", ""破损"", ""内容"", ""很"", ""喜欢""]",书 包装 很 好 没有 破损 内容 很 喜欢,"[""书"", ""包"", ""装"", ""很"", ""好"", ""没"", ""破"", ""损"", ""内"", ""容"", ""很"", ""喜"", ""欢""]",书 包 装 很 好 没 破 损 内 容 很 喜 欢,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 0}]"
和黑珍珠海盗船比起来 这个就是小资的船啊 双桅纵不过很好看 不仅电影3D化了 船只拼图都3D化了 立体的好看 还好比起以前买的拼图这个不过是个零头 比玩具等级要高一点不幼稚 对大人来说就不算开发智力了吧= =,"[""黑珍珠"", ""海盗船"", ""起来"", ""小资"", ""船"", ""双桅"", ""很"", ""好看"", ""电影"", ""3D"", ""化"", ""船只"", ""拼图"", ""都"", ""3D"", ""化"", ""立体"", ""好看"", ""还好"", ""比起"", ""以前"", ""买"", ""拼图"", ""零头"", ""玩具"", ""等级"", ""高"", ""一点"", ""不"", ""幼稚"", ""大人"", ""来说"", ""不算"", ""开发智力""]",黑珍珠 海盗船 起来 小资 船 双桅 很 好看 电影 3D 化 船只 拼图 都 3D 化 立体 好看 还好 比起 以前 买 拼图 零头 玩具 等级 高 一点 不 幼稚 大人 来说 不算 开发智力,"[""黑"", ""珍"", ""珠"", ""海"", ""盗"", ""船"", ""小"", ""资"", ""船"", ""双"", ""桅"", ""不"", ""很"", ""好"", ""看"", ""不"", ""仅"", ""电"", ""影"", ""3"", ""D"", ""化"", ""船"", ""只"", ""拼"", ""图"", ""都"", ""3"", ""D"", ""化"", ""立"", ""体"", ""好"", ""看"", ""还"", ""好"", ""前"", ""买"", ""拼"", ""图"", ""不"", ""零"", ""头"", ""玩"", ""具"", ""级"", ""高"", ""点"", ""不"", ""幼"", ""稚"", ""大"", ""人"", ""说"", ""不"", ""算"", ""开"", ""发"", ""智"", ""力""]",黑 珍 珠 海 盗 船 小 资 船 双 桅 不 很 好 看 不 仅 电 影 3 D 化 船 只 拼 图 都 3 D 化 立 体 好 看 还 好 前 买 拼 图 不 零 头 玩 具 级 高 点 不 幼 稚 大 人 说 不 算 开 发 智 力,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
因为早就有dvd看了所以对书的兴趣不大。。。但画面还是比较精美。。,"[""早就"", ""dvd"", ""看"", ""对书"", ""兴趣不大"", ""画面"", ""比较"", ""精美""]",早就 dvd 看 对书 兴趣不大 画面 比较 精美,"[""早"", ""dvd"", ""看"", ""书"", ""兴"", ""趣"", ""不"", ""大"", ""画"", ""面"", ""还"", ""精"", ""美""]",早 dvd 看 书 兴 趣 不 大 画 面 还 精 美,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
外观还是不错的挺大气。智能唤醒休眠功能挺好的。但是质量实在是不敢恭维啊。套子有点软按键孔位贴合的不好摄像头、耳机孔都被挡住一部分与机器的贴合度太差。边缘的封胶也不好边缘有的地方都没有封到。真心不值这个价格啊有点被伤到了。,"[""外观"", ""不错"", ""挺"", ""大气"", ""智能"", ""唤醒"", ""休眠"", ""功能"", ""挺"", ""好"", ""质量"", ""实在"", ""不敢恭维"", ""套子"", ""有点"", ""软"", ""按键"", ""孔位"", ""贴合"", ""不好"", ""摄像头"", ""耳机"", ""孔"", ""都"", ""挡住"", ""一部分"", ""机器"", ""贴合"", ""度太差"", ""边缘"", ""封胶"", ""不好"", ""边缘"", ""地方"", ""都"", ""没有"", ""封"", ""真心"", ""不值"", ""价格"", ""有点"", ""伤""]",外观 不错 挺 大气 智能 唤醒 休眠 功能 挺 好 质量 实在 不敢恭维 套子 有点 软 按键 孔位 贴合 不好 摄像头 耳机 孔 都 挡住 一部分 机器 贴合 度太差 边缘 封胶 不好 边缘 地方 都 没有 封 真心 不值 价格 有点 伤,"[""外"", ""观"", ""还"", ""不"", ""错"", ""挺"", ""大"", ""气"", ""智"", ""唤"", ""醒"", ""休"", ""眠"", ""功"", ""挺"", ""好"", ""质"", ""量"", ""实"", ""不"", ""敢"", ""恭"", ""维"", ""套"", ""子"", ""点"", ""软"", ""键"", ""孔"", ""位"", ""贴"", ""合"", ""不"", ""好"", ""摄"", ""头"", ""耳"", ""机"", ""孔"", ""都"", ""挡"", ""住"", ""部"", ""分"", ""机"", ""器"", ""贴"", ""合"", ""度"", ""太"", ""差"", ""缘"", ""封"", ""胶"", ""不"", ""好"", ""缘"", ""方"", ""都"", ""没"", ""封"", ""真"", ""心"", ""不"", ""值"", ""价"", ""格"", ""点"", ""伤""]",外 观 还 不 错 挺 大 气 智 唤 醒 休 眠 功 挺 好 质 量 实 不 敢 恭 维 套 子 点 软 键 孔 位 贴 合 不 好 摄 头 耳 机 孔 都 挡 住 部 分 机 器 贴 合 度 太 差 缘 封 胶 不 好 缘 方 都 没 封 真 心 不 值 价 格 点 伤,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""价格"", ""polarity"": 0}]"
说是6只装但盒子里只有5个坑爹啊,"[""说"", ""6"", ""只装"", ""盒子"", ""里"", ""5"", ""坑"", ""爹""]",说 6 只装 盒子 里 5 坑 爹,"[""说"", ""6"", ""只"", ""装"", ""盒"", ""子"", ""里"", ""只"", ""5"", ""坑"", ""爹""]",说 6 只 装 盒 子 里 只 5 坑 爹,"[{""类别"": ""家居生活"", ""类别ID"": 5}]","[{""aspect"": ""价格"", ""polarity"": 0}]"
第一章基本上讲的是各种安装。。不太喜欢这种风格。。。 后面的还在继续看。。作者写的相对用心但是不是最杰出的书,"[""第一章"", ""基本上"", ""讲"", ""安装"", ""不太"", ""喜欢"", ""这种"", ""风格"", ""后面"", ""还"", ""继续"", ""看"", ""作者"", ""写"", ""相对"", ""用心"", ""不是"", ""最"", ""杰出"", ""书""]",第一章 基本上 讲 安装 不太 喜欢 这种 风格 后面 还 继续 看 作者 写 相对 用心 不是 最 杰出 书,"[""章"", ""基"", ""上"", ""讲"", ""安"", ""装"", ""不"", ""太"", ""喜"", ""欢"", ""风"", ""格"", ""后"", ""面"", ""还"", ""继"", ""续"", ""看"", ""作"", ""写"", ""相"", ""心"", ""不"", ""最"", ""杰"", ""出"", ""书""]",章 基 上 讲 安 装 不 太 喜 欢 风 格 后 面 还 继 续 看 作 写 相 心 不 最 杰 出 书,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
这套和少年派 内在的天空以及神准的性格分析一起到货的这次用了纸箱买完发现这套便宜了10元不过之前买的时候有买满200优惠了50的活动算起来也差不多。经典作品,"[""这套"", ""少年"", ""派"", ""内在"", ""天空"", ""神准"", ""性格"", ""分析"", ""一起"", ""到货"", ""这次"", ""纸箱"", ""买"", ""完"", ""发现"", ""这套"", ""便宜"", ""10"", ""元"", ""之前"", ""买"", ""买"", ""满"", ""200"", ""优惠"", ""50"", ""活动"", ""算"", ""起来"", ""差不多"", ""经典作品""]",这套 少年 派 内在 天空 神准 性格 分析 一起 到货 这次 纸箱 买 完 发现 这套 便宜 10 元 之前 买 买 满 200 优惠 50 活动 算 起来 差不多 经典作品,"[""套"", ""少"", ""年"", ""派"", ""内"", ""天"", ""空"", ""神"", ""准"", ""性"", ""格"", ""分"", ""析"", ""货"", ""次"", ""纸"", ""箱"", ""买"", ""完"", ""发"", ""现"", ""套"", ""便"", ""宜"", ""10"", ""元"", ""不"", ""前"", ""买"", ""时"", ""候"", ""买"", ""满"", ""200"", ""优"", ""惠"", ""50"", ""活"", ""动"", ""算"", ""差"", ""不"", ""典"", ""作"", ""品""]",套 少 年 派 内 天 空 神 准 性 格 分 析 货 次 纸 箱 买 完 发 现 套 便 宜 10 元 不 前 买 时 候 买 满 200 优 惠 50 活 动 算 差 不 典 作 品,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
方便 好看 容量小一些,"[""方便"", ""好看"", ""容量"", ""小""]",方便 好看 容量 小,"[""方"", ""便"", ""好"", ""看"", ""容"", ""量"", ""小"", ""些""]",方 便 好 看 容 量 小 些,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
非常漂亮的一本书但是有一定的难度。应该有橡皮章的雕刻基础才能玩的书。因为材料非常便宜只要颜色漂亮的香皂就可以了。所以非常不幸疼哦但是建议玩家们买质量好一点的香皂或是蜡烛。因为掉粉太严重的东东会容易破坏最终的作品效果哦,"[""非常"", ""漂亮"", ""本书"", ""一定"", ""难度"", ""应该"", ""橡皮"", ""章"", ""雕刻"", ""基础"", ""才能"", ""玩"", ""书"", ""材料"", ""非常"", ""便宜"", ""颜色"", ""漂亮"", ""香皂"", ""非常"", ""不幸"", ""疼"", ""建议"", ""玩家"", ""买"", ""质量"", ""好"", ""一点"", ""香皂"", ""蜡烛"", ""掉"", ""粉"", ""太"", ""严重"", ""东东"", ""会"", ""容易"", ""破坏"", ""最终"", ""作品"", ""效果""]",非常 漂亮 本书 一定 难度 应该 橡皮 章 雕刻 基础 才能 玩 书 材料 非常 便宜 颜色 漂亮 香皂 非常 不幸 疼 建议 玩家 买 质量 好 一点 香皂 蜡烛 掉 粉 太 严重 东东 会 容易 破坏 最终 作品 效果,"[""非"", ""常"", ""漂"", ""亮"", ""书"", ""定"", ""难"", ""度"", ""应"", ""橡"", ""皮"", ""章"", ""雕"", ""刻"", ""基"", ""础"", ""才"", ""玩"", ""书"", ""材"", ""料"", ""非"", ""常"", ""便"", ""宜"", ""只"", ""颜"", ""色"", ""漂"", ""亮"", ""香"", ""皂"", ""非"", ""常"", ""不"", ""幸"", ""疼"", ""建"", ""议"", ""玩"", ""家"", ""买"", ""质"", ""量"", ""好"", ""点"", ""香"", ""皂"", ""蜡"", ""烛"", ""掉"", ""粉"", ""太"", ""严"", ""重"", ""东"", ""东"", ""会"", ""容"", ""易"", ""破"", ""坏"", ""最"", ""终"", ""作"", ""品"", ""效"", ""果""]",非 常 漂 亮 书 定 难 度 应 橡 皮 章 雕 刻 基 础 才 玩 书 材 料 非 常 便 宜 只 颜 色 漂 亮 香 皂 非 常 不 幸 疼 建 议 玩 家 买 质 量 好 点 香 皂 蜡 烛 掉 粉 太 严 重 东 东 会 容 易 破 坏 最 终 作 品 效 果,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}, {""aspect"": ""价格"", ""polarity"": 1}, {""aspect"": ""外观"", ""polarity"": 1}]"
里面有插图但是很难看明白可能是外国人画的原因,"[""里面"", ""插图"", ""很"", ""难看"", ""明白"", ""可能"", ""外国人"", ""画"", ""原因""]",里面 插图 很 难看 明白 可能 外国人 画 原因,"[""里"", ""面"", ""插"", ""图"", ""很"", ""难"", ""看"", ""明"", ""白"", ""外"", ""国"", ""人"", ""画"", ""原""]",里 面 插 图 很 难 看 明 白 外 国 人 画 原,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 0}]"
图片漂亮文字简洁易懂两本都买齐了,"[""图片"", ""漂亮"", ""文字"", ""简洁"", ""易懂"", ""两本"", ""都"", ""买"", ""齐""]",图片 漂亮 文字 简洁 易懂 两本 都 买 齐,"[""图"", ""片"", ""漂"", ""亮"", ""文"", ""字"", ""简"", ""洁"", ""易"", ""懂"", ""两"", ""都"", ""买"", ""齐""]",图 片 漂 亮 文 字 简 洁 易 懂 两 都 买 齐,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
几个星期前买的产品出现了一点问题有部分脱胶脱落里面看到有裸露的电线 就联系亚马逊看看有什么解决方案否 没想到买了这么长时间都给换了一个新的耳机而且物流很快 对亚马逊的服务很满意不愧是国际公司以后会一直支持的,"[""几个"", ""星期"", ""前"", ""买"", ""产品"", ""出现"", ""一点"", ""问题"", ""部分"", ""脱胶"", ""脱落"", ""里面"", ""看到"", ""裸露"", ""电线"", ""联系"", ""亚马逊"", ""看看"", ""解决方案"", ""否"", ""没想到"", ""买"", ""长时间"", ""都"", ""换"", ""新"", ""耳机"", ""物流"", ""很快"", ""亚马逊"", ""服务"", ""很"", ""满意"", ""不愧"", ""国际"", ""公司"", ""以后"", ""会"", ""支持""]",几个 星期 前 买 产品 出现 一点 问题 部分 脱胶 脱落 里面 看到 裸露 电线 联系 亚马逊 看看 解决方案 否 没想到 买 长时间 都 换 新 耳机 物流 很快 亚马逊 服务 很 满意 不愧 国际 公司 以后 会 支持,"[""星"", ""期"", ""前"", ""买"", ""产"", ""品"", ""出"", ""现"", ""点"", ""问"", ""题"", ""部"", ""分"", ""脱"", ""胶"", ""脱"", ""落"", ""里"", ""面"", ""看"", ""裸"", ""露"", ""电"", ""线"", ""联"", ""系"", ""亚"", ""马"", ""逊"", ""看"", ""看"", ""什"", ""解"", ""决"", ""方"", ""案"", ""否"", ""没"", ""想"", ""买"", ""长"", ""时"", ""间"", ""都"", ""换"", ""新"", ""耳"", ""机"", ""物"", ""流"", ""很"", ""快"", ""亚"", ""马"", ""逊"", ""服"", ""务"", ""很"", ""满"", ""意"", ""不"", ""愧"", ""国"", ""际"", ""公"", ""司"", ""后"", ""会"", ""直"", ""支"", ""持""]",星 期 前 买 产 品 出 现 点 问 题 部 分 脱 胶 脱 落 里 面 看 裸 露 电 线 联 系 亚 马 逊 看 看 什 解 决 方 案 否 没 想 买 长 时 间 都 换 新 耳 机 物 流 很 快 亚 马 逊 服 务 很 满 意 不 愧 国 际 公 司 后 会 直 支 持,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""物流"", ""polarity"": 1}]"
快递慢的无语产品还可以还是很让我满意的,"[""快递"", ""慢"", ""无语"", ""产品"", ""还"", ""很"", ""满意""]",快递 慢 无语 产品 还 很 满意,"[""快"", ""递"", ""慢"", ""无"", ""语"", ""产"", ""品"", ""还"", ""还"", ""很"", ""满"", ""意""]",快 递 慢 无 语 产 品 还 还 很 满 意,"[{""类别"": ""钟表/首饰/眼镜/礼品"", ""类别ID"": 9}]","[{""aspect"": ""物流"", ""polarity"": 0}]"
